ID;MARCA;MODELO;PRECO;PAIS;REGIAO;NOME;DATA
258;Honda;NSX;59266.85;Brazil;São Paulo;Emmaline O'Fallon;07/06/2020
939;Ford;Ecosport;67307.00;Argentina;Buenos Aires;Jaimie Stagg;09/06/2020
559;Renault;Grand Tour;69046.00;France;Marselha;Alphonso Saulter;09/06/2020
313;Chevrolet;Cruze;44124.00;United States;Washington;Gilda Golsworthy;09/06/2020
772;Renault;Clio;77895.00;China;Sichuan;Alix Voller;13/06/2020
846;Chevrolet;Camaro;76092.00;United States;Washington;Andrus Barrat;13/06/2020
881;Ford;Ranger;75798.00;France;Lyon;Aimee Gansbuhler;15/06/2020
560;Volkswagen;Voyage;76256.00;Brazil;Rio de Janeiro;Erik Antley;17/06/2020
797;Chevrolet;Camaro;74284.00;Argentina;Chaco;Lyon Brimblecomb;20/06/2020
814;Ferrari;Portofino;78443.00;Argentina;Mendonza;Horacio Dollard;21/06/2020
117;BMW;X3;66880.99;France;Marselha;Marijn Pechet;03/07/2019
713;Ford;Ka;41336.00;United States;Florida;Armin O'Dea;15/07/2019
855;Volkswagen;Passat;44352.00;United States;Oklahoma;Suzann Yendle;15/07/2019
447;Ford;Mustang;56224.00;China;Shandong;Aubree Gothrup;17/07/2019
288;Renault;Duster;45937.00;France;Marselha;Geraldine Spellecy;19/07/2019
916;Ford;Ranger;77464.00;China;Xangai;Emelda Sturge;23/07/2019
517;BMW;I8;74823.00;Argentina;Chaco;Henry Baxandall;25/07/2019
775;Chevrolet;Tracker;78131.00;United States;Florida;Melody Newnham;29/07/2019
670;Chevrolet;Camaro;73154.00;Argentina;Córdova;Redford Evenett;31/07/2019
431;BMW;BMW Série 3;58275.00;Brazil;Maranhão;Cindy Lombard;31/07/2019
45;Ford;Ka;71827.00;Brazil;Amazonas;Anders Ellen;12/08/2018
598;Ford;Ranger;61561.00;Argentina;Chaco;Joye Elderfield;14/08/2018
388;BMW;I8;50315.00;Argentina;Chaco;Gregorius Burdekin;18/08/2018
593;Volkswagen;Voyage;41996.00;France;Tolouse;Janet Gascoyen;18/08/2018
681;Ford;Teritory;71169.00;Argentina;Tucumán;Porty Erridge;21/02/2018
495;Volkswagen;Gol;44274.00;Argentina;Chaco;Gabe Speers;24/08/2018
250;BMW;Z4;41009.00;Brazil;Minas Gerais;Doris Borell;28/08/2018
545;Volkswagen;Golf;43400.00;Brazil;Rio de Janeiro;Berke Pedican;28/08/2018
217;Ford;Ranger;61473.00;Argentina;Tucumán;Isa Laycock;30/01/2018
407;Ford;Fusion;69932.00;Brazil;Rio Grande do Sul;Chloe Giacomini;07/09/2018
840;BMW;I8;72981.00;Brazil;Maranhão;Wilmette Wrathmell;09/09/2017
755;Honda;HR-V;49164.00;China;Hubei;Janine Blackhurst;09/09/2017
603;Honda;Fit;48270.00;China;Hubei;Temp Pressland;09/09/2017
518;Ford;Fiesta;76697.00;Brazil;Espirito Santo;Burch Sappson;12/09/2017
866;Renault;Logan;42274.00;France;Nice;Anna-maria McGaw;12/09/2017
105;Ford;Ranger;72929.00;China;Hubei;Dominic Lilley;14/09/2017
610;Renault;Sandero;48480.00;Brazil;São Paulo;Marcile Trumble;15/09/2017
271;Honda;Accord;65398.00;Brazil;Bahia;Lennie Skyme;18/09/2017
600;Ford;Fusion;59769.00;China;Pequim;Floyd Buckham;06/10/2017
623;Honda;CR-V;62716.00;China;Pequim;Janeen Brankley;07/10/2017
242;Renault;Logan;70906.00;France;Paris;Nero Simoens;07/10/2016
669;Ferrari;F50;52354.00;United States;Florida;Kyla Lutzmann;09/10/2016
726;Renault;Sandero;75096.00;China;Pequim;Roi Angeli;13/10/2016
924;Ford;Fusion;54774.00;Japan;Saitama;Melloney Priestland;17/10/2016
671;Ferrari;Enzo;61547.00;United States;Oklahoma;Eleonore Blyth;17/10/2016
424;Chevrolet;Tracker;50156.00;France;Tolouse;Maryjane Garrals;18/10/2016
836;Volkswagen;Voyage;52696.00;Japan;Osaka;Ricky Wenger;19/10/2016
510;Chevrolet;Prisma;63433.00;China;Shandong;Beatrice Baignard;20/10/2016
900;Renault;Clio;55502.00;Argentina;Córdova;Clevie Lambrick;24/10/2016
937;Ford;Fiesta;72476.00;Brazil;São Paulo;Carmel Gannicleff;25/10/2016
883;Honda;City;59637.00;France;Paris;Jacques Wylder;29/10/2015
798;Honda;Fit;40321.00;Japan;Kyoto;Gunther Lamming;29/12/2015
368;Chevrolet;Equinox;71260.00;Japan;Kyoto;Kacy Fortoun;04/11/2015
548;Ferrari;Dino 246;46504.00;United States;Ohio;Lolita Bastone;06/11/2015
534;Honda;City;66536.00;France;Nice;Linda Acock;10/11/2015
462;Renault;Sandero;56111.00;China;Sichuan;Rafi Walcar;12/11/2015
528;Renault;Sandero;61983.00;Argentina;Córdova;Helga Fallowfield;15/11/2015
565;Chevrolet;Cruze;56305.00;France;Paris;Hortensia Raulin;16/11/2015
564;Ford;Ranger;53251.00;China;Sichuan;Vladamir Bisatt;17/11/2015
355;Ford;Ranger;49555.00;Argentina;Chaco;North Popplewell;19/01/2015
237;Volkswagen;Gol;67243.00;Japan;Saitama;Waite Winspurr;19/11/2014
168;Honda;S2000;43105.00;Japan;Yokohama;Horace Heinl;25/11/2014
785;Volkswagen;Voyage;74610.00;Brazil;Santa Catarina;Perrine Longfellow;28/11/2014
391;Ferrari;488;42070.00;China;Pequim;Keriann Turfitt;05/12/2014
486;Honda;Accord;46926.00;United States;Florida;Albertina Osbaldstone;05/12/2014
281;Honda;Accord;72073.00;Japan;Osaka;Ruggiero Belly;06/12/2014
746;Honda;Civic;59514.00;China;Shandong;Emanuel Rearie;09/12/2014
624;Volkswagen;Gol;63609.00;France;Marselha;Briant Seer;09/12/2014
443;BMW;BMW Série 1;63629.00;Brazil;Maranhão;Farrand Sheekey;11/12/2014
451;Honda;HR-V;79644.00;Japan;Yokohama;Kirsti Binyon;11/12/2014
688;Chevrolet;Camaro;44754.00;Argentina;Mendonza;Anjela Ragles;12/12/2013
577;Volkswagen;UP!;61037.00;China;Shandong;Calley Swire;13/12/2013
306;Renault;Grand Tour;43552.00;France;Nice;Cyrill Delicate;14/12/2013
13;Honda;Accord;47978.00;China;Pequim;Hedda Cashin;15/12/2013
765;Chevrolet;Cruze;48003.00;United States;Florida;Patsy Covey;17/12/2013
801;Ford;Mustang;69902.00;Argentina;Chaco;Rachel Tombleson;18/12/2013
131;Honda;NSX;48612.00;Brazil;Bahia;Any Slater;20/12/2013
950;Renault;Sandero;65747.00;France;Marselha;Nadia Baumert;20/12/2013
763;Ford;Mustang;52615.00;Japan;Osaka;Marney Bonsall;25/12/2013
754;Honda;NSX;48920.00;China;Hubei;Naomi Ellwand;29/12/2013
938;Chevrolet;Onix;74337.00;Brazil;Rio Grande do Norte;Olga Stigell;01/01/2013
719;Volkswagen;Golf;72987.00;Brazil;São Paulo;Jamill Troup;07/01/2013
802;Honda;Accord;53520.00;China;Xangai;Aubrey Rany;20/01/2013
940;Chevrolet;Prisma;58157.00;United States;Washington;Shaylynn Binnie;22/01/2013
230;Chevrolet;Prisma;63846.00;France;Marselha;Tedie Corden;26/01/2013
776;BMW;BMW Série 1;60167.39;United States;California;Katusha Pluthero;26/01/2013
144;Volkswagen;Voyage;63467.00;France;Lyon;Skippie Doick;28/01/2013
143;Ford;Fusion;47221.00;China;Hubei;Emylee Frantsev;01/02/2013
909;Chevrolet;Spin;71665.00;Argentina;Tucumán;Cherise McKea;05/02/2013
795;Renault;Clio;54543.00;China;Pequim;Stearne Duguid;07/02/2013
80;Honda;Accord;42818.00;Brazil;Espirito Santo;Oralle Pavel;08/02/2013
276;Volkswagen;Fox;61154.00;Brazil;Pernambuco;Olenka Moxson;09/02/2013
202;Chevrolet;Prisma;75296.00;United States;California;Jakie Scarrisbrick;12/02/2013
426;Ford;Ka;55179.00;China;Shandong;Devina Albutt;22/02/2013
951;Ferrari;Portofino;61168.00;Japan;Saitama;Melvyn Stopforth;23/02/2013
566;Volkswagen;Golf;51423.00;Brazil;Rio de Janeiro;Tracee Stemp;24/02/2013
76;Honda;Accord;74564.00;Brazil;Bahia;Karisa Stormonth;28/02/2013
524;Renault;Sandero;45326.00;Japan;Osaka;Nan Teligin;01/03/2013
458;BMW;BMW Série 3;74828.00;United States;Florida;Justinian Fairbourne;04/03/2013
920;Chevrolet;Spin;66774.00;Argentina;Mendonza;Freddie Nickless;15/03/2013
180;Ford;Ranger;45423.00;Japan;Osaka;Lamond Grubbe;20/03/2013
104;Chevrolet;Equinox;45741.00;China;Xangai;Eileen Fritz;22/03/2013
771;Renault;Sandero;78221.00;France;Paris;Hayes Gilston;30/03/2013
145;Honda;S2000;50142.00;China;Xangai;Symon Rowlatt;03/04/2013
512;Honda;NSX;78826.00;United States;Florida;Lucretia Billanie;13/04/2013
198;Renault;Logan;60066.00;China;Sichuan;Sela Samuels;14/04/2013
752;Chevrolet;Prisma;60101.00;Japan;Yokohama;Barbi Tolley;16/04/2013
927;BMW;I8;45930.00;Argentina;Mendonza;Thorsten Jikylls;22/04/2013
66;Chevrolet;Camaro;78604.00;Argentina;Tucumán;Conway Hoys;23/04/2013
635;Ford;Ranger;65408.00;Brazil;Espirito Santo;Anton Deely;23/04/2013
29;Ford;Ecosport;78292.00;China;Xangai;Arnaldo Lorkings;24/04/2013
382;Honda;NSX;56903.00;Brazil;São Paulo;Terrence Erskine Sandys;27/04/2013
555;Volkswagen;Passat;40937.00;China;Pequim;Nara McGahey;27/01/2013
387;Honda;HR-V;76003.00;China;Hubei;Myles Appleby;30/04/2013
857;Volkswagen;Gol;55379.00;France;Paris;Ginny McTavy;02/05/2013
527;Honda;City;65522.00;China;Xangai;Odele Ecles;10/05/2013
286;Ford;Mustang;63194.00;China;Shandong;Ferrell Hickisson;11/05/2013
119;Renault;Duster;58869.00;Argentina;Tucumán;Benson Pickthorne;13/05/2013
504;Ford;Mustang;70000.00;Brazil;Goiás;Costa Dilliston;14/05/2013
583;Renault;Logan;60161.00;Brazil;Santa Catarina;Starlene Gretham;14/05/2013
540;Volkswagen;Golf;52111.00;Argentina;Buenos Aires;Chryste Storrier;17/05/2013
696;Ferrari;Enzo;67875.00;United States;Florida;Terri Perrinchief;19/05/2013
652;Renault;Kwid;60299.00;Japan;Tokyo;Guillemette Reade;25/05/2013
308;Chevrolet;Onix;74152.00;Argentina;Córdova;Carr Wogden;26/05/2013
309;Honda;CR-V;70911.00;Japan;Yokohama;Arvin O' Timony;27/05/2013
12;Chevrolet;Prisma;40440.00;Argentina;Tucumán;Alaine Carr;28/05/2013
944;Chevrolet;Onix;70473.00;Brazil;Rio Grande do Sul;Wilhelmina Wiersma;30/05/2013
325;Ford;Ecosport;45012.00;United States;Oklahoma;Ferguson Eastbury;03/06/2013
709;BMW;X5;66237.00;France;Marselha;Solomon Skones;05/06/2013
712;Honda;S2000;74373.00;China;Sichuan;Cart Shilstone;06/06/2013
711;Chevrolet;Joy;72876.00;United States;Washington;Olimpia Brownlee;07/06/2013
717;Ford;Fusion;49848.00;China;Xangai;Aristotle Cicculi;12/06/2013
834;Honda;City;48230.00;Japan;Tokyo;Peta Salt;14/06/2013
674;Honda;NSX;70874.00;United States;California;Gaye Emberton;22/06/2013
606;Ford;Mustang;52516.00;Brazil;Rio Grande do Norte;Uta Torpie;27/06/2013
607;Ford;Ranger;61708.00;Brazil;Rio Grande do Sul;Evvie Capnor;28/06/2013
749;Ford;Mustang;44640.00;Brazil;Rio Grande do Sul;Adelina Sebright;29/06/2013
888;Renault;Clio;40204.00;Argentina;Córdova;Winna Grgic;12/07/2013
919;Honda;City;61789.00;France;Marselha;Man Nowakowski;18/07/2013
348;Ford;Ranger;52475.00;Brazil;Espirito Santo;Kliment Palfreman;22/07/2013
778;Renault;Clio;73274.00;China;Pequim;Alfie Leborgne;31/07/2013
477;Chevrolet;Onix;76553.00;Brazil;São Paulo;Andrea McDugal;06/08/2013
914;Chevrolet;Joy;62688.77;United States;California;Giorgio Jeannot;07/08/2013
761;BMW;X6;65421.00;Brazil;Minas Gerais;Candis Worsnip;19/08/2013
609;Honda;Civic;78754.00;China;Pequim;Georgianne Lage;24/08/2013
